,GAME_ID,TEAM_ID,SEASON,NICKNAME,CITY,FGM,FGA,FG3M,FG3A,FTM,FTA,FOULS,isWinner
46944,22100325,1610612742.0,2021,Mavericks,Dallas,57.0,83.0,18.0,34.0,7.0,9.0,18.0,1
46945,22100326,1610612745.0,2021,Rockets,Houston,40.0,79.0,15.0,37.0,19.0,22.0,18.0,1
46946,22100326,1610612760.0,2021,Thunder,Oklahoma City,40.0,85.0,8.0,32.0,22.0,29.0,13.0,1
46947,22100327,1610612746.0,2021,Clippers,Los Angeles,47.0,100.0,9.0,31.0,12.0,16.0,11.0,1
46948,22100327,1610612758.0,2021,Kings,Sacramento,46.0,88.0,15.0,38.0,17.0,20.0,11.0,1
46949,22100328,1610612741.0,2021,Bulls,Chicago,44.0,89.0,11.0,29.0,20.0,21.0,15.0,1
46950,22100328,1610612752.0,2021,Knicks,New York,42.0,82.0,9.0,26.0,22.0,27.0,18.0,1
46951,22100329,1610612749.0,2021,Bucks,Milwaukee,32.0,85.0,11.0,31.0,18.0,25.0,13.0,0
46952,22100329,1610612761.0,2021,Raptors,Toronto,37.0,88.0,14.0,40.0,9.0,14.0,13.0,0
46953,22100330,1610612760.0,2021,Thunder,Oklahoma City,25.0,76.0,11.0,38.0,18.0,22.0,19.0,0
46954,22100330,1610612763.0,2021,Grizzlies,Memphis,60.0,96.0,19.0,36.0,13.0,18.0,10.0,0
46955,22100331,1610612756.0,2021,Suns,Phoenix,43.0,79.0,12.0,21.0,16.0,23.0,14.0,0
46956,22100331,1610612765.0,2021,Pistons,Detroit,36.0,80.0,11.0,27.0,20.0,26.0,12.0,0
46957,22100332,1610612757.0,2021,Trail Blazers,Portland,29.0,82.0,12.0,34.0,13.0,17.0,18.0,1
46958,22100332,1610612759.0,2021,Spurs,San Antonio,44.0,91.0,14.0,36.0,12.0,16.0,12.0,1
46959,22100333,1610612748.0,2021,Heat,Miami,43.0,81.0,16.0,34.0,11.0,13.0,13.0,1
46960,22100333,1610612754.0,2021,Pacers,Indiana,35.0,80.0,9.0,36.0,25.0,33.0,12.0,1
46961,22100334,1610612739.0,2021,Cavaliers,Cleveland,42.0,89.0,13.0,30.0,19.0,25.0,14.0,1
46962,22100334,1610612764.0,2021,Wizards,Washington,38.0,82.0,10.0,31.0,15.0,19.0,8.0,1
46963,22100335,1610612737.0,2021,Hawks,Atlanta,31.0,76.0,10.0,28.0,24.0,30.0,14.0,1
46964,22100335,1610612755.0,2021,76ers,Philadelphia,38.0,81.0,9.0,22.0,13.0,17.0,11.0,1
46965,22100336,1610612750.0,2021,Timberwolves,Minnesota,36.0,93.0,13.0,42.0,20.0,24.0,15.0,0
46966,22100336,1610612751.0,2021,Nets,Brooklyn,36.0,76.0,6.0,23.0,32.0,41.0,17.0,0
46967,22100337,1610612745.0,2021,Rockets,Houston,44.0,92.0,17.0,47.0,13.0,15.0,10.0,0
46968,22100337,1610612753.0,2021,Magic,Orlando,42.0,86.0,13.0,37.0,19.0,21.0,18.0,0
46969,22100338,1610612740.0,2021,Pelicans,New Orleans,37.0,90.0,12.0,30.0,21.0,28.0,10.0,1
46970,22100338,1610612742.0,2021,Mavericks,Dallas,32.0,79.0,10.0,34.0,17.0,26.0,15.0,1
46971,22100339,1610612738.0,2021,Celtics,Boston,47.0,91.0,14.0,39.0,22.0,22.0,6.0,0
46972,22100339,1610612762.0,2021,Jazz,Utah,45.0,81.0,27.0,51.0,20.0,23.0,19.0,0
46973,22100340,1610612744.0,2021,Warriors,Golden State,45.0,92.0,19.0,39.0,9.0,12.0,17.0,0
46974,22100340,1610612756.0,2021,Suns,Phoenix,31.0,81.0,8.0,22.0,26.0,35.0,14.0,0
46975,22100341,1610612746.0,2021,Clippers,Los Angeles,41.0,81.0,16.0,35.0,21.0,24.0,9.0,1
46976,22100341,1610612747.0,2021,Lakers,Los Angeles,45.0,90.0,12.0,33.0,13.0,21.0,11.0,1
46977,22100342,1610612743.0,2021,Nuggets,Denver,44.0,84.0,20.0,43.0,5.0,5.0,13.0,1
46978,22100342,1610612752.0,2021,Knicks,New York,35.0,88.0,12.0,40.0,17.0,21.0,11.0,1
46979,22100343,1610612741.0,2021,Bulls,Chicago,41.0,86.0,10.0,31.0,19.0,27.0,9.0,1
46980,22100343,1610612751.0,2021,Nets,Brooklyn,46.0,111.0,8.0,25.0,7.0,9.0,5.0,1
46981,22100344,1610612748.0,2021,Heat,Miami,34.0,84.0,17.0,43.0,17.0,24.0,14.0,0
46982,22100344,1610612749.0,2021,Bucks,Milwaukee,44.0,98.0,18.0,50.0,18.0,20.0,14.0,0
46983,22100345,1610612742.0,2021,Mavericks,Dallas,31.0,92.0,15.0,43.0,13.0,19.0,13.0,1
46984,22100345,1610612763.0,2021,Grizzlies,Memphis,37.0,76.0,9.0,26.0,14.0,24.0,22.0,1
46985,22100346,1610612744.0,2021,Warriors,Golden State,40.0,90.0,13.0,39.0,14.0,21.0,12.0,1
46986,22100346,1610612759.0,2021,Spurs,San Antonio,42.0,88.0,12.0,35.0,16.0,19.0,12.0,1
46987,22100347,1610612738.0,2021,Celtics,Boston,49.0,87.0,21.0,37.0,26.0,29.0,11.0,1
46988,22100347,1610612757.0,2021,Trail Blazers,Portland,42.0,89.0,8.0,29.0,25.0,32.0,9.0,1
46989,22100348,1610612746.0,2021,Clippers,Los Angeles,34.0,89.0,13.0,34.0,18.0,27.0,17.0,0
46990,22100348,1610612758.0,2021,Kings,Sacramento,36.0,86.0,12.0,34.0,20.0,25.0,15.0,0
46991,22100349,1610612739.0,2021,Cavaliers,Cleveland,42.0,91.0,14.0,38.0,10.0,13.0,13.0,1
46992,22100349,1610612762.0,2021,Jazz,Utah,40.0,90.0,20.0,48.0,9.0,10.0,17.0,1
46993,22100350,1610612737.0,2021,Hawks,Atlanta,48.0,93.0,17.0,37.0,14.0,18.0,10.0,1
46994,22100350,1610612766.0,2021,Hornets,Charlotte,46.0,86.0,17.0,37.0,21.0,28.0,6.0,1
46995,22100351,1610612761.0,2021,Raptors,Toronto,38.0,85.0,8.0,23.0,18.0,24.0,8.0,0
46996,22100351,1610612764.0,2021,Wizards,Washington,30.0,73.0,8.0,25.0,22.0,29.0,10.0,0
46997,22100352,1610612740.0,2021,Pelicans,New Orleans,40.0,94.0,10.0,38.0,18.0,25.0,7.0,0
46998,22100352,1610612745.0,2021,Rockets,Houston,39.0,79.0,17.0,40.0,23.0,29.0,14.0,0
46999,22100353,1610612755.0,2021,76ers,Philadelphia,46.0,87.0,15.0,36.0,20.0,27.0,15.0,1
47000,22100353,1610612766.0,2021,Hornets,Charlotte,48.0,107.0,16.0,46.0,12.0,17.0,8.0,1
47001,22100354,1610612760.0,2021,Thunder,Oklahoma City,41.0,82.0,9.0,25.0,23.0,30.0,11.0,1
47002,22100354,1610612765.0,2021,Pistons,Detroit,41.0,99.0,16.0,41.0,5.0,6.0,16.0,1
47003,22100355,1610612754.0,2021,Pacers,Indiana,43.0,82.0,9.0,23.0,21.0,22.0,15.0,0
47004,22100355,1610612764.0,2021,Wizards,Washington,43.0,81.0,7.0,15.0,17.0,21.0,12.0,0
47005,22100356,1610612748.0,2021,Heat,Miami,35.0,76.0,6.0,22.0,14.0,17.0,23.0,1
47006,22100356,1610612763.0,2021,Grizzlies,Memphis,38.0,89.0,13.0,33.0,16.0,21.0,19.0,1
47007,22100357,1610612741.0,2021,Bulls,Chicago,41.0,91.0,13.0,35.0,14.0,20.0,11.0,0
47008,22100357,1610612743.0,2021,Nuggets,Denver,38.0,96.0,11.0,32.0,10.0,15.0,9.0,0
47009,22100358,1610612739.0,2021,Cavaliers,Cleveland,35.0,90.0,15.0,46.0,19.0,20.0,9.0,0
47010,22100358,1610612749.0,2021,Bucks,Milwaukee,40.0,86.0,13.0,32.0,19.0,24.0,16.0,0
47011,22100359,1610612737.0,2021,Hawks,Atlanta,40.0,90.0,25.0,49.0,16.0,19.0,10.0,1
47012,22100359,1610612750.0,2021,Timberwolves,Minnesota,39.0,98.0,17.0,40.0,15.0,19.0,8.0,1
47013,22100360,1610612756.0,2021,Suns,Phoenix,43.0,94.0,10.0,29.0,12.0,18.0,17.0,0
47014,22100360,1610612759.0,2021,Spurs,San Antonio,40.0,93.0,11.0,29.0,13.0,19.0,15.0,0
47015,22100361,1610612744.0,2021,Warriors,Golden State,43.0,87.0,20.0,40.0,20.0,29.0,15.0,0
47016,22100361,1610612753.0,2021,Magic,Orlando,33.0,76.0,11.0,38.0,18.0,22.0,22.0,0
47017,22100362,1610612746.0,2021,Clippers,Los Angeles,41.0,92.0,11.0,36.0,9.0,14.0,13.0,1
47018,22100362,1610612757.0,2021,Trail Blazers,Portland,35.0,79.0,5.0,22.0,15.0,20.0,18.0,1
47019,22100363,1610612742.0,2021,Mavericks,Dallas,36.0,90.0,9.0,46.0,18.0,22.0,4.0,1
47020,22100363,1610612751.0,2021,Nets,Brooklyn,42.0,83.0,8.0,26.0,10.0,13.0,12.0,1
47021,22100364,1610612752.0,2021,Knicks,New York,43.0,91.0,18.0,38.0,17.0,19.0,10.0,1
47022,22100364,1610612759.0,2021,Spurs,San Antonio,41.0,92.0,12.0,31.0,15.0,20.0,10.0,1
47023,22100365,1610612738.0,2021,Celtics,Boston,36.0,82.0,10.0,33.0,20.0,29.0,13.0,0
47024,22100365,1610612747.0,2021,Lakers,Los Angeles,48.0,93.0,8.0,27.0,13.0,17.0,14.0,0
47025,22100366,1610612755.0,2021,76ers,Philadelphia,36.0,75.0,13.0,34.0,25.0,30.0,15.0,1
47026,22100366,1610612766.0,2021,Hornets,Charlotte,39.0,80.0,10.0,29.0,18.0,21.0,18.0,1
47027,22100367,1610612739.0,2021,Cavaliers,Cleveland,44.0,80.0,13.0,28.0,14.0,16.0,14.0,0
47028,22100367,1610612741.0,2021,Bulls,Chicago,35.0,84.0,7.0,26.0,15.0,21.0,17.0,0
47029,22100368,1610612764.0,2021,Wizards,Washington,42.0,88.0,12.0,32.0,23.0,28.0,17.0,1
47030,22100368,1610612765.0,2021,Pistons,Detroit,37.0,79.0,13.0,24.0,29.0,35.0,15.0,1
47031,22100369,1610612752.0,2021,Knicks,New York,36.0,86.0,9.0,30.0,21.0,23.0,13.0,0
47032,22100369,1610612754.0,2021,Pacers,Indiana,46.0,86.0,10.0,27.0,20.0,25.0,9.0,0
47033,22100370,1610612748.0,2021,Heat,Miami,40.0,77.0,22.0,47.0,11.0,12.0,20.0,0
47034,22100370,1610612749.0,2021,Bucks,Milwaukee,36.0,85.0,12.0,39.0,20.0,27.0,18.0,0
47035,22100371,1610612760.0,2021,Thunder,Oklahoma City,38.0,84.0,17.0,40.0,17.0,20.0,13.0,1
47036,22100371,1610612761.0,2021,Raptors,Toronto,42.0,93.0,15.0,41.0,10.0,15.0,13.0,1
47037,22100372,1610612745.0,2021,Rockets,Houston,40.0,81.0,14.0,41.0,20.0,29.0,13.0,0
47038,22100372,1610612751.0,2021,Nets,Brooklyn,35.0,89.0,8.0,33.0,26.0,31.0,13.0,0
47039,22100373,1610612742.0,2021,Mavericks,Dallas,37.0,77.0,12.0,33.0,18.0,23.0,18.0,1
47040,22100373,1610612763.0,2021,Grizzlies,Memphis,36.0,90.0,9.0,31.0,15.0,25.0,13.0,1
47041,22100374,1610612750.0,2021,Timberwolves,Minnesota,38.0,95.0,17.0,47.0,11.0,17.0,15.0,1
